,equity_usd
2022-06-02 00:00:00+00:00,149262.52082276894
2022-06-03 00:00:00+00:00,149227.6003901232
2022-06-06 00:00:00+00:00,149171.23219527735
2022-06-07 00:00:00+00:00,149190.10672171254
2022-06-08 00:00:00+00:00,149134.25346482926
2022-06-09 00:00:00+00:00,149167.29886366124
2022-06-10 00:00:00+00:00,149178.04992630542
2022-06-13 00:00:00+00:00,149345.1312300963
2022-06-14 00:00:00+00:00,149372.66782954798
2022-06-15 00:00:00+00:00,149321.29537079023
2022-06-16 00:00:00+00:00,149291.58516463687
2022-06-17 00:00:00+00:00,149217.45136837603
2022-06-20 00:00:00+00:00,149179.53103889027
2022-06-21 00:00:00+00:00,149137.08220808386
2022-06-22 00:00:00+00:00,149062.72724906984
2022-06-23 00:00:00+00:00,149023.10085818157
2022-06-24 00:00:00+00:00,148980.0496437422
2022-06-27 00:00:00+00:00,149066.94271191506
2022-06-28 00:00:00+00:00,149215.0111200825
2022-06-29 00:00:00+00:00,149152.1877842569
2022-06-30 00:00:00+00:00,149112.28928504465
2022-07-01 00:00:00+00:00,149056.64023566025
2022-07-04 00:00:00+00:00,149334.65129549033
2022-07-05 00:00:00+00:00,149620.91108396425
2022-07-06 00:00:00+00:00,149653.16518385115
2022-07-07 00:00:00+00:00,149732.25089557268
2022-07-08 00:00:00+00:00,149692.08446629066
2022-07-11 00:00:00+00:00,149736.38407428973
2022-07-12 00:00:00+00:00,149799.25083708897
2022-07-13 00:00:00+00:00,149948.56470678712
2022-07-14 00:00:00+00:00,149883.16595628628
2022-07-15 00:00:00+00:00,149831.28811414976
2022-07-18 00:00:00+00:00,149784.36418904597
2022-07-19 00:00:00+00:00,149754.41418246893
2022-07-20 00:00:00+00:00,149705.83889441658
2022-07-21 00:00:00+00:00,149732.2106494585
2022-07-22 00:00:00+00:00,149717.01196085173
2022-07-25 00:00:00+00:00,149679.41217180816
2022-07-26 00:00:00+00:00,149637.28226413063
2022-07-27 00:00:00+00:00,149691.48633003706
2022-07-28 00:00:00+00:00,149731.42372390648
2022-07-29 00:00:00+00:00,149706.5081644023
2022-08-01 00:00:00+00:00,149656.228764792
2022-08-02 00:00:00+00:00,149673.32503768773
2022-08-03 00:00:00+00:00,149612.9175295293
2022-08-04 00:00:00+00:00,149550.9520307036
2022-08-05 00:00:00+00:00,149564.4818686129
2022-08-08 00:00:00+00:00,149738.9878031003
2022-08-09 00:00:00+00:00,149694.1490380134
2022-08-10 00:00:00+00:00,149739.34463388886
2022-08-11 00:00:00+00:00,149739.6383482476
2022-08-12 00:00:00+00:00,149772.19288925637
2022-08-15 00:00:00+00:00,149701.31203047142
2022-08-16 00:00:00+00:00,149677.9358288441
2022-08-17 00:00:00+00:00,149966.2530004987
2022-08-18 00:00:00+00:00,149904.12411324322
2022-08-19 00:00:00+00:00,149930.6200560734
2022-08-22 00:00:00+00:00,150135.6928046719
2022-08-23 00:00:00+00:00,150164.39622252158
